accommodates,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,availability_30,review_scores_cleanliness,availability_60,availability_90,availability_365,priceClass
2,1.0,1.0,30,1125,5.0,4,5.0,4,4,160,1.0
6,1.0,2.0,2,10,4.95,6,4.95,29,49,132,0.0
4,1.0,2.0,2,7,5.0,12,5.0,30,60,145,1.0
6,3.0,3.0,3,28,5.0,1,4.88,31,61,151,1.0
3,1.0,1.0,2,4,4.96,0,5.0,0,0,0,0.0
2,1.0,1.0,2,1125,5.0,3,4.96,3,3,24,0.0
4,2.0,2.0,30,180,5.0,2,5.0,2,2,10,0.0
2,1.0,1.0,2,30,5.0,0,5.0,0,7,255,0.0
6,1.0,3.0,2,1125,4.98,0,4.98,16,33,196,1.0
2,1.0,1.0,2,14,5.0,7,5.0,14,26,180,0.0
6,2.0,2.0,1,365,4.9,4,5.0,18,35,304,1.0
8,4.0,5.0,2,1125,5.0,11,4.93,38,60,335,1.0
6,3.0,2.0,1,365,4.63,13,5.0,36,57,189,1.0
6,2.0,3.0,1,365,4.76,10,4.97,29,47,312,1.0
4,1.0,2.0,1,1125,4.99,0,4.97,3,13,53,1.0
4,1.0,2.0,2,7,5.0,8,5.0,38,68,343,0.0
5,2.0,3.0,3,1125,5.0,0,5.0,0,0,18,1.0
2,1.0,1.0,2,1125,5.0,17,5.0,41,71,340,0.0
4,1.0,2.0,1,1125,4.86,7,4.88,19,34,179,0.0
5,2.0,2.0,2,28,5.0,0,5.0,9,18,78,1.0
4,2.0,2.0,3,8,4.67,16,4.44,43,70,94,1.0
4,1.0,2.0,2,28,5.0,9,5.0,21,30,99,1.0
4,1.0,2.0,2,28,4.95,8,5.0,21,33,103,1.0
5,2.0,2.0,2,28,5.0,2,5.0,13,19,87,1.0
6,2.0,3.0,1,365,4.91,2,5.0,12,21,250,1.0
4,2.0,2.0,1,365,4.67,11,5.0,30,47,298,1.0
2,1.0,1.0,2,1125,4.84,2,4.81,16,16,16,0.0
4,2.0,2.0,2,31,5.0,3,5.0,5,17,155,1.0
4,2.0,2.0,2,7,5.0,13,5.0,39,49,104,0.0
2,1.0,1.0,2,5,5.0,3,4.97,27,49,49,0.0
3,1.0,2.0,2,1125,4.79,7,5.0,24,40,306,1.0
12,5.0,7.0,1,365,5.0,7,5.0,25,42,293,1.0
4,1.0,2.0,2,1125,5.0,10,5.0,33,63,336,0.0
4,1.0,1.0,1,1125,4.95,1,4.97,14,29,105,0.0
4,1.0,2.0,3,1125,4.97,6,4.91,16,39,39,0.0
3,1.0,1.0,2,28,4.94,8,5.0,20,25,100,1.0
4,2.0,2.0,2,1125,4.85,3,4.92,16,36,311,1.0
5,2.0,2.0,2,28,4.92,7,5.0,17,29,103,1.0
6,3.0,3.0,30,365,5.0,0,5.0,6,29,228,0.0
6,2.0,3.0,2,1125,5.0,6,5.0,36,66,341,1.0
2,1.0,1.0,2,7,5.0,6,5.0,31,61,90,0.0
8,2.0,2.0,3,1125,4.91,5,4.82,27,43,308,1.0
3,1.0,1.0,2,28,5.0,10,5.0,21,33,104,1.0
2,1.0,1.0,1,365,4.73,1,4.73,9,16,263,0.0
3,1.0,1.0,1,1125,5.0,16,5.0,46,76,351,0.0
8,4.0,4.0,2,1125,4.44,6,4.33,27,49,321,1.0
8,3.0,5.0,2,1125,5.0,10,5.0,37,62,337,1.0
6,2.0,3.0,1,365,4.88,3,5.0,20,40,54,1.0
4,1.0,2.0,1,365,4.73,2,5.0,27,57,332,1.0
6,2.0,3.0,1,365,4.92,7,5.0,20,33,293,1.0
11,5.0,6.0,2,1125,5.0,14,5.0,33,47,304,1.0
4,1.0,1.0,1,7,5.0,11,5.0,30,54,54,1.0
6,2.0,3.0,1,365,4.5,0,5.0,0,0,28,1.0
12,3.0,6.0,1,1125,4.8,2,5.0,19,40,125,1.0
2,1.0,1.0,2,31,5.0,17,5.0,47,77,167,0.0
4,1.0,1.0,2,4,5.0,23,4.86,53,83,83,0.0
4,2.0,2.0,4,30,5.0,3,5.0,4,4,78,1.0
2,1.0,2.0,2,7,5.0,2,5.0,15,30,77,0.0
6,2.0,2.0,1,365,4.88,6,5.0,21,37,172,1.0
2,1.0,2.0,1,365,4.7,11,4.6,28,54,323,1.0
8,4.0,5.0,3,1125,5.0,3,5.0,12,34,194,1.0
4,2.0,2.0,2,1125,5.0,1,5.0,16,34,267,0.0
6,2.0,3.0,1,365,5.0,2,5.0,12,36,278,1.0
4,2.0,2.0,2,1125,5.0,8,5.0,17,46,123,1.0
2,1.0,1.0,1,1125,5.0,1,5.0,1,1,1,0.0
2,1.0,1.0,2,1125,5.0,5,5.0,32,62,144,1.0
8,2.0,3.0,1,365,4.86,5,5.0,33,61,333,1.0
4,1.0,1.0,1,13,5.0,5,5.0,34,55,128,1.0
4,1.0,2.0,2,1125,4.8,12,5.0,38,68,155,0.0
9,3.0,4.0,2,14,5.0,1,5.0,1,1,53,1.0
2,1.0,1.0,1,14,5.0,0,5.0,18,48,48,0.0
